sku;Brand;name;genere;price;url;img;altezzascarpa;ruolo;caratteristicascarpa;larghezzapianta;allenamenti;pesogiocatore
F0ASSV1051A060010;Asics;Asics Netburner Ballistic FF 2 Limited Edition Black-Sunrise Red;Uomo;91.000000;https://sportnetit.com/asics-netburner-ballistic-ff-2-l-e-black-sunrise-red.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-ballistic-ff-2-limited-edition-black-sunrise-red.jpg;Bassa;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
F0ASSV1051A042400;Asics;Asics Netburner Ballistic FF 2 MT Peacot-White da Uomo;Uomo;98.000000;https://sportnetit.com/asics-netburner-ballistic-ff-mt-2-peacot-white-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-ballistic-ff-mt-2-peacot-white-da-uomo.jpg;Alta,Mid;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
F0ASSV1051A042001;Asics;Asics Netburner Ballistic FF 2 MT Black-Carrier Grey da Uomo;Uomo;98.000000;https://sportnetit.com/asics-netburner-ballistic-ff-mt-2-black-carrier-grey-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-ballistic-ff-mt-2-black-carrier-grey-da-uomo.jpg;Alta,Mid;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
F0ASSV1051A041400;Asics;Asics Netburner Ballistic FF 2 Peacot-White da Uomo;Uomo;91.000000;https://sportnetit.com/asics-netburner-ballistic-ff-2-peacot-white-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-ballistic-ff-2-peacot-white-da-uomo.jpg;Bassa;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
F0ASSV1051A032402;Asics;Asics Sky Elite FF MT Peacot da Uomo;Uomo;109.000000;https://sportnetit.com/asics-sky-elite-ff-mt-peacot-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-peacot-da-uomo.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
F0ASSV1051A032003;Asics;Asics Sky Elite FF MT Black Pure-Silver da Uomo;Uomo;109.000000;https://sportnetit.com/asics-sky-elite-ff-mt-black-pure-silver-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-black-pure-silver-da-uomo.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
F0MZSVGC204529;Mizuno;Mizuno Wave Supersonic 2 Mid da Donna Azzurra;Donna;70.000000;https://sportnetit.com/mizuno-wave-supersonic-2-mid-da-donna-29.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-supersonic-2-mid-da-donna-azzurre---gc204529.jpg;Mid;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Leggera;Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg
F0MZSVGC200555;Mizuno;Mizuno Wave Lightning Z6 Mid da Donna Sabbia;Donna;99.000000;https://sportnetit.com/mizuno-wave-lightning-z6-mid-da-donna-55.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-lightning-z6-mid-bianco-sabbia.jpg;;;;;;
F0MZSVGC196559;Mizuno;Mizuno Wave Voltage Mid Rosa da Donna;Donna;87.500000;https://sportnetit.com/mizuno-wave-voltage-mid-59-da-donna.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-voltage-mid-da-donna-rosa-gc196559.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale;Reattiva,Leggera;Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
F0MZSVGC191259;Mizuno;Mizuno Wave Momentum da Donna Rosa;Donna;99.000000;https://sportnetit.com/mizuno-wave-momentum-da-donna-59.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-momentum-donna-rosa-gc191259.jpg;Mid,Bassa;Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
