sku;Brand;name;genere;price;url;img;altezzascarpa;ruolo;caratteristicascarpa;larghezzapianta;allenamenti;pesogiocatore


E9MZSVGA191700;Mizuno;Mizuno Wave Momentum Mid Blu Uomo;Uomo;109.000000;https://sportnetit.com/mizuno-wave-momentum-blu-uomo.html;https://sportnetit.com/pub/media/catalog/product/w/a/wave-momentum.jpg;Alta,Mid;Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
I8ASSVB600N7701;Asics;Asics Gel Beyond 5 MT Verde Lime;Uomo;72.000000;https://sportnetit.com/asics-gel-beyond-5-mt-verde-lime.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-volley-gel-beyond-5-mt-lime.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Stabile;Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg,Oltre i 90 kg
E9MZSVV1GD180398;Mizuno;Mizuno Volley Lightning Star Z4 Bambino Azzurra;Bambino;35.000000;https://sportnetit.com/mizuno-volley-lightning-star-z4-bambino-azzurra.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-lightning-star-z4-bambino-azzurro-gd1803-98.jpg;Bassa;;;;;
E9MZSVV1GD180347;Mizuno;Mizuno Volley Lightning Star Z4 Bambino Grigia;Bambino;35.000000;https://sportnetit.com/mizuno-volley-lightning-star-z4-bambino-grigia.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-lightning-star-z4-bambino-grigia-gd1803-47.jpg;Bassa;;;;;
E9MZSVGC180060;Mizuno;Mizuno Wave Lightning Z4 da Donna Rosa;Donna;62.000000;https://sportnetit.com/mizuno-wave-hurricane-da-donna-rosa.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-lightning-z4-donna-rosa-gc1800-60.jpg;Bassa;Alzatore,Schiacciatore,Centrale,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
E9MZSVGA180098;Mizuno;Mizuno Wave Lightning Z4 da Uomo Azzurra;Uomo;62.000000;https://sportnetit.com/mizuno-wave-lightning-z4-da-uomo-azzurra.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-volley-wave-lightning-azzurra-ga1800-98.jpg;Bassa;Alzatore,Schiacciatore,Centrale,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9ASSVB703Y4901;Asics;Asics Gel Task MT Blu Uomo;Uomo;63.000000;https://sportnetit.com/asics-gel-task-mt-blu-uomo4901.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-task-uomo-blu.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Leggera;Stretta,Media;1-2 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
I9ASSVB600N001;Asics;Asics Gel Beyond 5 MT Uomo Black-Koi;Uomo;84.000000;https://sportnetit.com/asics-gel-beyond-5-mt-uomo-black-koi.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-beyond-5-black-koy-uomo-mt.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Stabile;Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg,Oltre i 90 kg
I9ASSV1074A005003;Asics;Asics Volley Upcourt 3 Bambino Nera;Bambino;35.000000;https://sportnetit.com/asics-volley-upcourt-3-ragazzo-003.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-volley-upcourt-3-bambino.jpg;Bassa;;;;;
I9ASSV1072A017430;Asics;Asics Gel Netburner Accademy 8 Ice Mint;Donna;77.000000;https://sportnetit.com/asics-gel-netburner-accademy-8-ice-mint.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-netburner-accademy-8-ice-mint-1072a017_430.jpg;Bassa;;;;;
I9ASSV1052A023100;Asics;Asics Sky Elite FF MT Donna White-Laser Pink;Donna;92.000000;https://sportnetit.com/asics-sky-elite-ff-mt-donna-white-laser-pink.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-donna-white-laser-pink-i9assv1052a023_100.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
I9ASSV1052A024100;Asics;Asics Sky Elite FF Donna White-Laser Pink;Donna;89.000000;https://sportnetit.com/asics-sky-elite-ff-donna-white-laser-pink.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-donna-white-laser-pink-1052a024_100.jpg;Bassa;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
I9ASSV1052A002108;Asics;Asics Netburner Ballistic FF Donna White-Sour Yuzu;Donna;79.000000;https://sportnetit.com/asics-netburner-ballistic-ff-donna-white-sour-yuzu.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-ballistic-ff-donna-white-sour-yuzu-1052a002_108.jpg;Bassa;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg
I9ASSV1052A001001;Asics;Asics Netburner Ballistic FF MT Donna Black-Laser Pink;Donna;89.000000;https://sportnetit.com/asics-netburner-ballistic-ff-mt-donna-black-laser-pink.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-ballistic-ff-mt-donna-black-laser-pink-1052a001_001.jpg;Alta;Alzatore,Schiacciatore,Universale;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg
I9ASSV1051A032400;Asics;Asics Sky Elite FF MT Uomo Blue-Sour Yuzu;Uomo;99.000000;https://sportnetit.com/asics-sky-elite-ff-mt-uomo-blue-sour-yuzu.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-uomo-blue-sour-yuzu-1051a032_400.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
I9ASSV1051A003003;Asics;Asics Gel Netburner Ballistic FF MT Black-Sour Yuzu;Uomo;79.000000;https://sportnetit.com/asics-gel-netburner-ballistic-ff-mt-black-sour-yuz.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-netburner-ballistic-ff-mt-black-sour-yuz-1051a003-003.jpg;Alta;Alzatore,Schiacciatore,Universale;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
I9ASSV1051A002402;Asics;Asics Gel Netburner Ballistic FF Uomo Blue-Silver;Uomo;79.000000;https://sportnetit.com/asics-gel-netburner-ballistic-ff-uomo-blue-silver.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-netburner-ballistic-ff-uomo-blue-silver-1051a002_402.jpg;Bassa;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
I9ADSVD97836;Adidas;Adidas CrazyFlight X3 USAV Volleyball Edition;Uomo,Donna,Unisex;105.000000;https://sportnetit.com/adidas-crazyflight-x3-usa-volleyball-edition.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas_crazyflight_x3_usa-d97836.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9ADSFF97281;Adidas;Adidas Marquee Boost Low Nera;Uomo;78.000000;https://sportnetit.com/adidas-marquee-boost-low-black.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-volley-marquee-boost-bianca-nera-f97281-6.jpg;Bassa;Schiacciatore,Opposto,Centrale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
I9MZSVGD190397;Mizuno;Mizuno Lightning Star Z Nera da Bambino;Bambino;37.200000;https://sportnetit.com/mizuno-lightning-star-z-bambino-97.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno_wave-lightning-star-nera-jr.jpg;Bassa;;;;;
S0MZSVGC196516;Mizuno;Mizuno Wave Voltage Mid da Donna White-Pink;Donna;87.500000;https://sportnetit.com/mizuno-wave-voltage-mid-da-donna-16.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave_voltage-donna-bianca-5.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale;Reattiva,Leggera;Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVGC190560;Mizuno;Mizuno Wave Lightning Z5 Mid Grigia Donna;Donna;96.000000;https://sportnetit.com/mizuno-wave-lightning-z5-mid-da-donna-60.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-lightning-z5-donna---grigia--gc1905-60.jpg;Alta;Alzatore,Schiacciatore,Centrale,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVGA196537;Mizuno;Mizuno Wave Voltage Mid Black Green Gecko;Uomo;87.500000;https://sportnetit.com/mizuno-wave-voltage-md-37.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave_voltage-uomo-nera-verde.jpg;Alta;Alzatore,Schiacciatore,Centrale;Reattiva,Leggera;Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVGA196508;Mizuno;Mizuno Wave Voltage Mid White Black Red;Uomo;87.500000;https://sportnetit.com/mizuno-wave-voltage-md-08.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-voltage-mid-white-black-red-ga1965-08.jpg;Alta;Alzatore,Schiacciatore,Centrale;Reattiva,Leggera;Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVGA190597;Mizuno;Mizuno Wave Lightning Z5 Mid Uomo;Uomo;80.000000;https://sportnetit.com/mizuno-wave-lightning-z5-mid-97.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-lightning-z5-nera-uomo-def.jpg;Alta;Alzatore,Schiacciatore,Centrale,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVGA182052;Mizuno;Mizuno Wave Luminous Rossa Uomo;Uomo;81.250000;https://sportnetit.com/mizuno-wave-luminous-52.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-luminous-uomo-62-5.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVGA174562;Mizuno;Mizuno Wave Hurricane 3 Mid Uomo Rossa;Uomo;65.000000;https://sportnetit.com/mizuno-wave-hurricane-3-mid-uomo-62.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-hurricane-3-mid-uomo-62-3.jpg;Alta;Alzatore,Schiacciatore,Centrale,Libero,Universale;Leggera;Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9ADSVD97832BLK;Adidas;Adidas Crazyflight X3 Nera;Uomo,Donna,Unisex;98.000000;https://sportnetit.com/adidas-crazyflight-x3-nera.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-crazyflight-x3-nera-d97832.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVV1GC182015;Mizuno;Mizuno Wave Luminous Azzurra da Donna;Donna;87.500000;https://sportnetit.com/mizuno-wave-luminous-azzurra-da-donna-blu.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-luminous-azzurra-donna.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9ASSV1074A005104;Asics;Asics Volley Upcourt 3 Bambina Bianca-Rosa;Bambina;35.000000;https://sportnetit.com/asics-volley-upcourt-3-ragazzo-104.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-volley-upcourt-3-bambina.jpg;Bassa;;;;;
I9ADSVD97823;Adidas;Adidas Crazyflight X3 Mid Nera;Uomo,Donna,Unisex;95.000000;https://sportnetit.com/adidas-crazyflight-x3-mid-nera.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-crazyflight-x3-nera-d97823.jpg;Alta;Alzatore,Schiacciatore,Libero;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVV1GC182008;Mizuno;Mizuno Wave Luminous da Donna Bianca;Donna;69.000000;https://sportnetit.com/mizuno-wmn-wave-luminous-s-p-08.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-luminous-da-donna-bianca-gc182008.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVGA182010;Mizuno;Mizuno Wave Luminous Nera da Uomo;Uomo;69.000000;https://sportnetit.com/mizuno-wave-liminous-s-p-10.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-luminous-nera-da-uomo-ga1820-10.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVGC190501;Mizuno;Mizuno Wave Lightning Z5 Md Blu-Arancione-Rosa da Donna;Uomo;96.000000;https://sportnetit.com/mizuno-wave-lightning-z5-md-wos-01.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-lightning-z5-md-blu-arancione-rosa-da-donna-gc1905-01.jpg;Alta;Alzatore,Schiacciatore,Centrale,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVV1GC182096;Mizuno;Mizuno Wave Luminous Azzurra da Donna;Donna;65.000000;https://sportnetit.com/mizuno-volley-wmn-wave-luminous-s-p-96.html;https://sportnetit.com/pub/media/catalog/product/l/u/luminous-azzurra-donna.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9MZSVV1GA191200;Mizuno;Mizuno Wave Momentum Blu da Uomo;Uomo;85.000000;https://sportnetit.com/mizuno-volley-momentum-00.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-momentum-blu-ga1912-00.jpg;Mid,Bassa;Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
I9ASSV1071A036002;Asics;Asics Gel Task 2 MT da Uomo Black-Bronze;Uomo;63.000000;https://sportnetit.com/asics-gel-task-2-mt-da-uomo-black-bronze.html;https://sportnetit.com/pub/media/catalog/product/g/e/gel-task-2-mt-uomo-nera-bronzo.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Leggera;Stretta,Media;1-2 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
S0ASSVB600N402;Asics;Asics Gel Beyond 5 MT Midnight-Pure Silver da Uomo;Uomo;84.000000;https://sportnetit.com/asics-gel-beyond-5-mt-midnight-pure-silver-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-beyond-5-mt-midnight-pure-silver-da-uomo.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Stabile;Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg,Oltre i 90 kg
S0ASSV1052A032400;Asics;Asics Sky Elite FF L.E. Tokio 2020 Electric Blue-White da Donna;Donna;105.000000;https://sportnetit.com/asics-sky-elite-ff-tokio2020-blue-white-donna.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-l.e.-electric-blue-white-da-donna.jpg;Bassa;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
S0ASSV1052A001002;Asics;Asics Netburner Ballistic FF MT Tokio 2020 Black-Pure Silver da Donna;Donna;84.000000;https://sportnetit.com/asics-netburner-ballistic-mt-tokio2020-black.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-ballistic-ff-mt-black-pure-silver-da-donna.jpg;Alta;Alzatore,Schiacciatore,Universale;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg
S0ASSV1051A040600;Asics;Asics Sky Elite FF MT L.E. Tokio 2020 Classic Red-White da Uomo ;Uomo;112.000000;https://sportnetit.com/asics-sky-elite-ff-tokio2020-mt-red-white.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-l.e.-classic-red-white-da-uomo.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
S0ASSV1051A003403;Asics;Asics Netburner Ballistic FF MT Tokio 2020 Midnight-Pure Silver da Uomo;Uomo;84.000000;https://sportnetit.com/asics-netburner-ballistic-tokio2020-midnight-uomo.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-ballistic-ff-mt-midnight-pure-silver-da-uomo.jpg;Alta;Alzatore,Schiacciatore,Universale;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
S0ASSV1052A031400;Asics;Asics Sky Elite FF MT L.E. Tokio 2020 Electric Blue-White da Donna;Donna;112.000000;https://sportnetit.com/asics-sky-elite-ff-mt-l-e-tokio-2020-electric-blue-white-da-donna.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-l.e.-tokio-2020-electric-blue-white-da-donna.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
S0MZSVGC200552;Mizuno;Mizuno Lightning Z6 Mid da Donna Bianco NimbusCloud;Donna;112.000000;https://sportnetit.com/mizuno-lightning-z6-mid-da-donna-52.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-lightning-z6-mid-da-donna-bianco-nimbuscloud.jpg;Alta;Alzatore,Schiacciatore,Centrale,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
S0MZSVGC191252;Mizuno;Mizuno Wave Momentum da Donna Bianca NimbusCloud;Donna;108.500000;https://sportnetit.com/mizuno-momentum-da-donna-52.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-momentum-da-donna-bianca-nimbuscloud.jpg;Mid,Bassa;Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
S0MZSVGC182052;Mizuno;Mizuno Wave Luminous da Donna Bianca-Oro;Donna;91.000000;https://sportnetit.com/mizuno-wave-luminous-da-donna-s-p-52.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-luminous-da-donna-bianca-oro.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
S0MZSVGA200553;Mizuno;Mizuno Wave Lightning Z6 Mid Unisex Black-White-Orange Clownfish;Uomo;105.000000;https://sportnetit.com/mizuno-wave-lightning-z6-mid-52.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-lightning-z6-mid-unisex-black-white-orange-clownfish.jpg;Alta;Alzatore,Schiacciatore,Centrale,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
